basements,category_code,central_air,depth,exempt_building,exempt_land,exterior_condition,fireplaces,frontage,garage_spaces,general_construction,homestead_exemption,interior_condition,market_value,number_of_bathrooms,number_of_bedrooms,number_stories,off_street_open,parcel_shape,street_code,taxable_land,total_area,total_livable_area,type_heater,view_type,year_built,zip_code
11,0,0,75.0,80000.0,0.0,4,0,23.0,0.0,7,80000,4,135200.0,1.0,3.0,1.0,2789.0,4,3193,27040.0,1700.0,1496.0,6,6,1920.0,19143.0
10,0,0,79.0,80000.0,0.0,5,0,18.0,1.0,7,80000,4,171800.0,1.0,3.0,2.0,1270.0,4,2428,34360.0,1439.0,1224.0,0,6,1950.0,19150.0
11,0,0,80.0,47000.0,11700.0,4,0,16.0,0.0,7,58700,4,58700.0,1.0,3.0,2.0,990.0,4,3189,0.0,1276.0,1088.0,6,6,1920.0,19143.0
11,0,0,51.0,80000.0,0.0,4,0,15.0,0.0,7,80000,4,308300.0,0.0,0.0,3.0,362.0,4,1091,61660.0,765.0,1275.0,1,6,1920.0,19123.0
11,0,0,111.0,80000.0,0.0,4,0,50.0,1.0,13,80000,4,257500.0,0.0,0.0,2.0,2434.0,4,1191,51500.0,5525.0,1800.0,6,6,1950.0,19152.0
9,0,0,66.0,80000.0,0.0,4,0,16.0,0.0,9,80000,4,212200.0,1.0,3.0,2.0,2400.0,4,3100,42440.0,1053.0,960.0,6,6,1930.0,19148.0
11,0,0,82.0,68480.0,11520.0,5,0,20.0,0.0,7,80000,4,85600.0,0.0,0.0,2.0,1252.0,4,446,5600.0,1599.0,1440.0,6,6,1940.0,19140.0
11,0,0,91.0,58900.0,0.0,5,0,15.0,0.0,7,0,4,83500.0,1.0,3.0,2.0,713.0,4,3093,16700.0,1360.0,1038.0,6,6,1925.0,19140.0
11,0,0,76.0,0.0,0.0,4,0,15.0,0.0,7,0,4,92700.0,1.0,3.0,2.0,1165.0,4,3193,18500.0,1140.0,1416.0,6,6,1920.0,19143.0
7,0,0,83.0,80000.0,0.0,4,0,15.0,1.0,7,0,4,121200.0,1.0,4.0,2.0,1529.0,4,54,24240.0,1231.0,1380.0,6,6,1923.0,19132.0
3,0,0,144.0,80000.0,0.0,4,0,42.0,1.0,11,80000,4,444000.0,2.0,4.0,2.0,4414.0,0,2923,88800.0,5964.0,1753.0,1,6,1925.0,19119.0
11,0,0,47.0,0.0,0.0,4,0,16.0,0.0,7,0,4,45500.0,1.0,3.0,2.0,1936.0,4,2869,9100.0,757.0,932.0,6,6,1925.0,19131.0
11,0,0,66.0,0.0,0.0,4,0,16.0,0.0,7,0,4,58100.0,1.0,3.0,2.0,2356.0,4,3119,11620.0,1020.0,1424.0,6,6,1920.0,19132.0
3,0,0,51.0,192900.0,0.0,4,0,12.0,0.0,7,0,4,275400.0,1.0,3.0,2.0,886.0,4,44,55080.0,627.0,990.0,6,6,1920.0,19147.0
4,0,1,105.0,80000.0,0.0,3,0,28.0,1.0,7,80000,3,312900.0,1.0,4.0,2.0,1669.0,4,179,62580.0,2914.0,2000.0,0,6,1956.0,19152.0
7,0,0,87.0,80000.0,0.0,4,0,16.0,1.0,7,80000,4,164700.0,1.0,3.0,2.0,1361.0,0,1678,32940.0,1392.0,1396.0,6,6,1925.0,19149.0
11,0,0,90.0,56480.0,14120.0,4,0,16.0,0.0,7,70600,4,70600.0,1.0,3.0,2.0,927.0,4,2662,0.0,1440.0,1088.0,6,6,1925.0,19131.0
3,0,0,47.0,80000.0,0.0,4,0,15.0,0.0,7,80000,4,140400.0,1.0,2.0,2.0,968.0,4,1927,28080.0,705.0,728.0,6,6,1925.0,19145.0
11,0,0,70.0,0.0,0.0,4,0,15.0,0.0,7,80000,4,101300.0,1.0,3.0,2.0,1529.0,4,1335,20200.0,1015.0,1088.0,6,6,1925.0,19142.0
11,0,1,0.0,80000.0,0.0,3,0,0.0,0.0,7,80000,4,2251800.0,0.0,0.0,1.0,636.0,4,3116,225100.0,0.0,3975.0,5,2,1910.0,19103.0
5,0,0,105.0,80000.0,0.0,4,0,23.0,1.0,7,80000,4,314300.0,1.0,4.0,2.0,3537.0,0,482,62860.0,3528.0,1914.0,6,6,1985.0,19116.0
10,0,1,90.0,80000.0,0.0,4,0,18.0,0.0,9,80000,4,219400.0,1.0,2.0,2.0,7985.0,4,29,43880.0,1616.0,1080.0,1,6,1986.0,19154.0
11,0,0,62.0,70800.0,9200.0,4,0,15.0,0.0,7,80000,4,88400.0,1.0,3.0,1.0,2885.0,4,892,8400.0,930.0,1022.0,6,6,1920.0,19143.0
11,0,0,49.0,0.0,0.0,4,0,14.0,0.0,7,0,4,184600.0,1.0,3.0,2.0,1487.0,4,1313,36920.0,686.0,1024.0,6,6,1925.0,19146.0
5,0,0,108.0,80000.0,0.0,4,0,18.0,1.0,7,80000,4,136100.0,1.0,3.0,2.0,4400.0,4,871,27200.0,1930.0,1296.0,6,6,1965.0,19142.0
3,0,0,88.0,0.0,0.0,4,0,18.0,0.0,7,0,4,155700.0,1.0,3.0,2.0,1709.0,4,275,31140.0,1566.0,1176.0,0,6,1925.0,19138.0
3,0,0,50.0,0.0,0.0,4,0,16.0,0.0,8,0,4,53800.0,1.0,3.0,1.0,835.0,4,697,10760.0,800.0,1140.0,6,6,1910.0,19134.0
11,0,0,96.0,0.0,0.0,6,0,22.0,0.0,7,0,4,154100.0,0.0,0.0,3.0,3846.0,4,3105,30820.0,2116.0,1920.0,6,6,1940.0,19141.0
11,0,0,81.0,0.0,0.0,4,0,16.0,0.0,7,0,4,157700.0,1.0,3.0,2.0,919.0,4,1764,31540.0,1296.0,1232.0,6,6,1925.0,19151.0
