basements,building_code_description,category_code,central_air,depth,exempt_building,exempt_land,exterior_condition,fireplaces,frontage,garage_spaces,general_construction,homestead_exemption,interior_condition,market_value,number_of_bathrooms,number_of_bedrooms,number_stories,off_street_open,parcel_shape,quality_grade,street_code,taxable_building,taxable_land,total_area,total_livable_area,type_heater,view_type,year_built,zip_code,zoning,pin,building_code_new,building_code_description_new,lat,lng
,VACANT LAND RESIDE < ACRE,6,,,0.0,0.0,,,,,,0,,0.0,,,,,,,70940.0,0.0,0.0,,,,,,19103.0,CMX4,1001472239,,,39.95182018913055,-75.17675892676169
,VACANT LAND RESIDE < ACRE,6,,200.0,0.0,0.0,,,24.0,,,0,,0.0,,,,,B,,29180.0,0.0,0.0,10710.0,,,I,,19125.0,ICMX,1001185496,,,39.97930384068044,-75.13093031280178
,VACANT LAND RESIDE < ACRE,6,,121.0,0.0,0.0,,,60.0,,,0,,0.0,,,,,A,,22820.0,0.0,0.0,7115.0,,,,,19104.0,CMX4,1001140144,,,39.95651765350304,-75.2071251578198
,VACANT LAND RESIDE < ACRE,6,,121.0,0.0,0.0,,,60.0,,,0,,0.0,,,,,A,,22820.0,0.0,0.0,7115.0,,,,,19104.0,CMX4,1001140142,,,39.95651765350304,-75.2071251578198
,VACANT LAND RESIDE < ACRE,6,,121.0,0.0,0.0,,,60.0,,,0,,0.0,,,,,A,,22820.0,0.0,0.0,7115.0,,,,,19104.0,CMX4,1001140140,,,39.95651765350304,-75.2071251578198
,VACANT LAND RESIDE < ACRE,6,,121.0,0.0,0.0,,,60.0,,,0,,0.0,,,,,A,,22820.0,0.0,0.0,7115.0,,,,,19104.0,CMX4,1001140138,,,39.95651765350304,-75.2071251578198
,VACANT LAND RESIDE < ACRE,6,,121.0,0.0,0.0,,,60.0,,,0,,0.0,,,,,A,,22820.0,0.0,0.0,7115.0,,,,,19104.0,CMX4,1001140136,,,39.95651765350304,-75.2071251578198
,VACANT LAND RESIDE < ACRE,6,,174.0,0.0,0.0,,,86.0,,,0,,0.0,,,,,B,,57520.0,0.0,0.0,9506.0,,,I,,19123.0,RSA5,1001381545,,,39.96310527058076,-75.15502550536237
,VACANT LAND RESIDE < ACRE,6,,10.0,0.0,0.0,,,37.0,,,0,,0.0,,,,,A,,57520.0,0.0,0.0,379.0,,,,,19123.0,RSA5,1001381544,,,39.9631571280917,-75.1546159449152
,VACANT LAND RESIDE < ACRE,6,,317.0,0.0,0.0,,,316.0,,,0,,0.0,,,,7366.0,B,,75477.0,0.0,0.0,81182.0,,,,,19116.0,RSD2,1001507972,,,40.11948975762643,-74.98682055144018
,PKG LOT NON COMMERCIAL,6,,,0.0,0.0,,,,,,0,,0.0,,,,,,,27975.0,0.0,0.0,,,,,,19103.0,RM1,1001173824,,,39.94710469514761,-75.17083520467084
,VACANT LAND RESIDE < ACRE,6,,,0.0,0.0,,,,,,0,,0.0,,,,,,,27975.0,0.0,0.0,,,,,,19103.0,RM1,1001173825,,,39.9472337118479,-75.17080865779
,VACANT LAND RESIDE < ACRE,6,,90.0,0.0,0.0,,,20.0,,,0,,0.0,,,,,A,,88110.0,0.0,0.0,1490.0,,,,,19130.0,RM1,1001624755,,,39.967727961684446,-75.16547742918908
,VACANT LAND RESIDE < ACRE,6,,160.0,0.0,0.0,,,44.0,,,0,,0.0,,,,,B,,61580.0,0.0,0.0,5370.0,,,,,19123.0,CMX2,1001401262,,,39.96499932790451,-75.14309373581376
,VACANT LAND RESIDE < ACRE,6,,20.0,0.0,0.0,,,5.0,,,0,,0.0,,,,,E,,88270.0,0.0,0.0,100.0,,,,,19103.0,CMX3,1001641366,,,39.9498944591178,-75.17953154176038
,VACANT LAND RESIDE < ACRE,6,,20.0,0.0,0.0,,,17.0,,,0,,0.0,,,,,A,,35980.0,0.0,0.0,286.0,,,,,19123.0,RSA5,1001232504,,,39.9618310252857,-75.14376412617182
,VACANT LAND RESIDE < ACRE,6,,,0.0,0.0,,,,,,0,,0.0,,,,,,,35980.0,0.0,0.0,,,,,,19123.0,RSA5,1001232503,,,39.961908956875,-75.14408429339232
,VACANT LAND RESIDE < ACRE,6,,9.0,0.0,0.0,,,18.0,,,0,,0.0,,,,,E,,88140.0,0.0,0.0,162.0,,,,,19146.0,RM1,1001629893,,,39.94058157648702,-75.17286893291433
,VACANT LAND RESIDE < ACRE,6,,112.0,0.0,0.0,,,46.0,,,0,,0.0,,,,,A,,88140.0,0.0,0.0,4343.0,,,,,19146.0,RM1,1001629891,,,39.940613683170646,-75.17307882064405
,VACANT LAND RESIDE < ACRE,6,,80.0,0.0,0.0,,,20.0,,,0,,0.0,,,,,B,,72760.0,0.0,0.0,10993.0,,,,,19128.0,CMX2,1001484380,,,40.02548408381802,-75.21149281344998
,VACANT LAND RESIDE < ACRE,6,,141.0,0.0,0.0,,,24.0,,,0,,0.0,,,,,E,,88110.0,0.0,0.0,3437.0,,,,,19103.0,CMX4,1001624698,,,39.95958188563532,-75.1666531448628
,VACANT LAND RESIDE < ACRE,6,,,0.0,0.0,,,,,,0,,0.0,,,,,,,76680.0,0.0,0.0,,,,,,19130.0,RSA5,1001514060,,,39.97070016870556,-75.18007468976236
